City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
232,east london,-33.0153,27.9116,21.9,92,100,6.43,ZA,1678225111
233,aklavik,68.2191,-135.0107,-19.0,65,40,5.14,CA,1678225112
234,bindura,-17.3019,31.3306,18.91,94,55,1.24,ZW,1678225112
235,altay,47.8667,88.1167,-0.27,80,94,2.49,CN,1678225113
236,samarai,-10.6167,150.6667,27.61,78,18,2.61,PG,1678225113
237,marrakesh,31.6315,-8.0083,20.04,64,0,3.09,MA,1678224903
238,saint anthony,45.0205,-93.218,3.96,52,0,5.14,US,1678225113
239,ailigandi,9.2333,-78.0167,26.26,78,67,4.98,PA,1678225114
240,kutum,14.2,24.6667,23.56,14,35,6.88,SD,1678225114
241,sao jose da coroa grande,-8.8978,-35.1478,26.91,78,100,5.02,BR,1678225115
242,kidal,18.4411,1.4078,26.0,7,94,5.03,ML,1678225115
243,brazzaville,-4.2658,15.2832,24.83,83,100,0.25,CG,1678225116
244,sioux lookout,50.1001,-91.917,-3.96,39,40,2.57,CA,1678225116
245,pueblo nuevo,23.3833,-105.3833,23.96,16,88,3.55,MX,1678225117
246,dawlatabad,36.4141,64.9053,19.1,31,63,2.55,AF,1678225117
247,niono,14.2526,-5.993,27.62,7,77,4.11,ML,1678225118
248,kaitangata,-46.2817,169.8464,19.93,60,74,1.39,NZ,1678224880
249,belyy yar,53.6039,91.3903,-4.06,88,100,1.0,RU,1678225118
250,suibara,37.8333,139.2333,4.95,65,40,3.6,JP,1678225118
251,geraldton,-28.7667,114.6,22.23,83,0,4.12,AU,1678225119
252,port hardy,50.6996,-127.4199,6.1,81,75,5.66,CA,1678225119
253,tautira,-17.7333,-149.15,26.41,81,16,5.83,PF,1678224886
254,kichera,55.9375,110.0997,-8.38,96,100,0.77,RU,1678225120
255,alice springs,-23.7,133.8833,15.75,55,3,3.6,AU,1678225120
256,panacan,9.2463,118.4082,24.73,85,4,4.86,PH,1678225120
257,richards bay,-28.783,32.0377,21.78,92,2,1.67,ZA,1678225121
258,san jose,37.3394,-121.895,14.64,48,75,3.13,US,1678225067
259,nurota,40.5614,65.6886,19.32,28,100,8.86,UZ,1678225121
260,praia da vitoria,38.7333,-27.0667,15.14,88,75,14.47,PT,1678225122
261,souillac,-20.5167,57.5167,25.21,88,75,3.09,MU,1678225122
262,inhambane,-23.865,35.3833,24.09,81,14,6.05,MZ,1678225122
263,san ramon,37.7799,-121.978,13.56,57,40,3.09,US,1678224839
264,stephenville crossing,48.5,-58.4318,3.07,75,75,5.14,CA,1678225123
265,marquette,46.5333,-87.6335,0.69,71,47,2.26,US,1678225123
266,nyandoma,61.669,40.1991,-15.5,100,94,1.49,RU,1678225123
267,imbituba,-28.24,-48.6703,24.98,82,35,4.04,BR,1678225124
268,huainan,32.6264,116.9969,15.88,61,100,2.64,CN,1678225124
269,ziro,27.6333,93.8333,7.41,89,59,1.06,IN,1678225124
270,yar-sale,66.8333,70.8333,-22.82,95,98,6.51,RU,1678225125
271,suntar,62.1444,117.6319,-21.14,92,100,3.64,RU,1678225125
272,bambous virieux,-20.3428,57.7575,25.14,88,75,3.09,MU,1678225125
273,beitbridge,-22.2167,30.0,22.95,63,0,3.89,ZW,1678225126
274,urman,54.8831,56.8742,-5.52,96,100,3.29,RU,1678225126
275,ust-ishim,57.6935,71.1665,-6.52,97,100,1.53,RU,1678225127
276,yerbogachen,61.2767,108.0108,-6.5,95,100,3.73,RU,1678225127
277,aksarka,66.5606,67.7975,-32.49,90,24,0.76,RU,1678225127
278,pisco,-13.7,-76.2167,29.03,58,0,5.14,PE,1678224924
279,lerwick,60.1545,-1.1494,-2.0,62,65,6.07,GB,1678225128
280,cherskiy,68.75,161.3,-34.63,97,39,1.36,RU,1678225128
281,sisimiut,66.9395,-53.6735,-3.47,68,12,3.01,GL,1678225053
282,nabire,-3.3667,135.4833,23.99,83,52,1.53,ID,1678225129
283,kahului,20.8947,-156.47,27.76,64,40,11.83,US,1678224849
284,conceicao do araguaia,-8.2578,-49.2647,25.72,84,68,1.87,BR,1678225129
285,chihuahua,28.5,-106.0,26.22,6,73,5.7,MX,1678225052
286,itarema,-2.9248,-39.9167,26.65,79,8,5.91,BR,1678224935
287,chabahar,25.2919,60.643,24.07,66,0,2.91,IR,1678225130
288,chinhoyi,-17.3667,30.2,19.57,89,73,2.18,ZW,1678225130
289,kokopo,-4.352,152.2633,25.6,84,100,2.54,PG,1678225131
290,aswan,24.0934,32.907,21.61,21,0,3.09,EG,1678225131
291,sao domingos,-13.3983,-46.3183,20.93,93,100,0.55,BR,1678225131
292,tiarei,-17.5333,-149.3333,29.01,86,13,6.25,PF,1678225132
293,pudem,58.3044,52.1675,-7.15,95,99,3.83,RU,1678225132
294,upernavik,72.7868,-56.1549,-13.67,93,71,2.41,GL,1678225132
295,sabang,5.8933,95.3214,27.55,71,1,8.21,ID,1678225133
296,kaohsiung,22.6163,120.3133,18.35,73,20,0.51,TW,1678225133
297,sistranda,63.7256,8.834,-4.02,55,94,5.33,NO,1678225065
298,flinders,-34.5833,150.8552,21.7,69,0,0.89,AU,1678225134
299,mahebourg,-20.4081,57.7,25.16,88,75,3.09,MU,1678225134
300,bemidji,47.4736,-94.8803,-2.83,54,75,2.57,US,1678224874
301,huarmey,-10.0681,-78.1522,25.76,71,93,3.73,PE,1678225135
302,sorong,-0.8833,131.25,26.53,82,8,2.22,ID,1678225135
303,santa maria,-29.6842,-53.8069,29.61,58,40,2.06,BR,1678225135
304,stornoway,58.2093,-6.3865,-0.02,93,75,5.66,GB,1678225136
305,villa carlos paz,-31.4241,-64.4978,31.7,32,0,2.68,AR,1678225136
306,batagay-alyta,67.8006,130.4114,-36.46,93,26,2.37,RU,1678225137
307,chapais,49.7834,-74.8492,-7.12,93,100,5.33,CA,1678225137
308,kirakira,-10.4544,161.9205,28.16,76,100,0.32,SB,1678225137
309,ranau,5.9538,116.6641,18.95,97,21,0.14,MY,1678225138
310,masvingo,-20.0637,30.8277,16.1,79,1,2.5,ZW,1678225138
311,gamba,-2.65,10.0,26.55,81,99,2.1,GA,1678225139
312,puerto madryn,-42.7692,-65.0385,19.68,45,80,10.75,AR,1678225139
313,nome,64.5011,-165.4064,1.2,100,100,9.26,US,1678224873
314,comodoro rivadavia,-45.8667,-67.5,24.92,18,0,5.14,AR,1678225140
315,korla,41.7597,86.1469,7.49,50,1,1.02,CN,1678225075
316,rach gia,10.0167,105.0833,22.98,72,46,2.43,VN,1678225140
317,erie,42.7667,-78.6664,1.72,44,76,9.39,US,1678224860
318,guerrero negro,27.9769,-114.0611,16.59,59,31,9.95,MX,1678225140
319,deep river,46.1001,-77.4995,-2.81,75,100,6.71,CA,1678225141
320,bathsheba,13.2167,-59.5167,27.34,69,40,6.69,BB,1678225141
321,banepa,27.6298,85.5214,12.29,82,40,1.03,NP,1678225142
322,qasigiannguit,68.8193,-51.1922,1.14,63,16,4.8,GL,1678225142
323,seoul,37.5683,126.9778,6.76,87,40,3.6,KR,1678224922
324,charters towers,-20.1,146.2667,24.14,85,99,4.92,AU,1678225143
325,awbari,26.5921,12.7805,19.55,18,0,2.01,LY,1678225143
326,itubera,-13.7322,-39.1492,24.19,91,2,1.85,BR,1678225144
327,inirida,3.8653,-67.9239,26.64,86,98,1.05,CO,1678225144
328,rundu,-17.9333,19.7667,20.0,84,97,1.8,NA,1678224907
329,lata,40.1629,-8.3327,14.95,89,97,2.07,PT,1678225145
330,san quintin,30.4833,-115.95,14.73,61,92,9.74,MX,1678225067
331,arlit,18.7369,7.3853,28.64,11,46,4.29,NE,1678225145
332,general roca,-39.0333,-67.5833,30.35,23,38,3.18,AR,1678225146
333,palaikastron,35.2,26.25,14.36,67,96,3.21,GR,1678225146
334,hofn,64.2539,-15.2082,-4.97,65,11,13.51,IS,1678224905
335,farrukhnagar,17.0778,78.2011,19.84,40,0,3.09,IN,1678225147
336,cabra,37.4725,-4.4421,12.96,87,98,1.72,ES,1678225147
337,poum,-20.2333,164.0167,27.19,70,5,9.17,NC,1678225148
338,tilichiki,60.4667,166.1,-12.89,90,96,2.7,RU,1678225148
339,provideniya,64.3833,-173.3,-8.89,92,100,0.45,RU,1678225148
340,saldanha,-33.0117,17.9442,17.03,89,31,6.17,ZA,1678224897
341,mabaruma,8.2,-59.7833,22.97,95,97,2.14,GY,1678225045
342,port-gentil,-0.7193,8.7815,27.98,83,20,4.63,GA,1678225149
343,iranshahr,27.2025,60.6848,21.19,37,0,0.0,IR,1678225149
344,gornopravdinsk,60.05,69.9,-16.19,91,100,3.59,RU,1678225150
345,lokosovo,61.1333,74.8167,-27.48,99,78,2.69,RU,1678225150
346,linhares,-19.3911,-40.0722,24.5,87,55,2.29,BR,1678225151
347,alofi,-19.0595,-169.9187,24.94,22,75,3.09,NU,1678225087
348,goderich,43.7501,-81.7165,1.62,55,0,8.23,CA,1678225151
349,kumluca,36.3703,30.2869,12.77,79,83,1.87,TR,1678225152
350,misratah,32.3754,15.0925,15.83,69,4,4.97,LY,1678225152
351,zhanakorgan,43.9098,67.2495,10.16,71,100,7.81,KZ,1678225153
352,ahipara,-35.1667,173.1667,20.69,57,1,1.35,NZ,1678225153
353,talcahuano,-36.7167,-73.1167,15.82,88,100,3.6,CL,1678225154
354,taoudenni,22.6783,-3.9836,27.94,9,0,2.44,ML,1678225154
355,baile herculane,44.8797,22.4125,7.77,72,99,1.0,RO,1678225154
356,luwuk,-0.9516,122.7875,24.45,88,61,1.77,ID,1678225040
357,excelsior springs,39.3392,-94.2261,9.93,51,40,5.14,US,1678225155
358,portland,45.5234,-122.6762,9.96,70,75,1.54,US,1678224907
359,axim,4.8699,-2.2405,25.9,87,100,3.65,GH,1678225073
360,sulangan,11.1373,123.7228,25.75,83,8,8.8,PH,1678225156
361,olafsvik,64.8945,-23.7142,-6.01,67,100,15.52,IS,1678225156
362,chiang khong,20.2613,100.4046,17.87,59,0,0.67,TH,1678225156
